dir total orig_fail com_fail diff ratio
annexB 1356 129 209 80 5%
annexB/language 882 67 147 80 9%
annexB/language/global-code 152 8 48 40 26%
annexB/language/statements 41 4 6 2 4%
annexB/language/statements/class 4 0 2 2 50%
annexB/language/statements/class/subclass 4 0 2 2 50%
annexB/language/function-code 159 1 39 38 23%
built-ins 34516 2607 2680 73 0%
built-ins/AsyncGeneratorFunction 46 0 30 30 65%
built-ins/AsyncGeneratorFunction/prototype 12 0 8 8 66%
built-ins/TypedArrayConstructors 1478 146 150 4 0%
built-ins/TypedArrayConstructors/ctors-bigint 258 10 12 2 0%
built-ins/TypedArrayConstructors/ctors-bigint/typedarray-arg 54 4 6 2 3%
built-ins/TypedArrayConstructors/ctors 518 24 28 4 0%
built-ins/TypedArrayConstructors/ctors/typedarray-arg 64 8 10 2 3%
built-ins/AsyncIteratorPrototype 8 0 8 8 100%
built-ins/AsyncIteratorPrototype/Symbol.asyncIterator 8 0 8 8 100%
built-ins/GeneratorFunction 46 0 34 34 73%
built-ins/GeneratorFunction/prototype 12 0 10 10 83%
built-ins/RegExp 3120 340 82 -258 -8%
built-ins/RegExp/named-groups 56 2 4 2 3%
built-ins/RegExp/prototype 930 8 20 12 1%
built-ins/RegExp/prototype/Symbol.match 154 0 2 2 1%
built-ins/RegExp/prototype/flags 34 2 4 2 5%
built-ins/RegExp/prototype/unicode 16 0 2 2 12%
built-ins/RegExp/prototype/Symbol.replace 134 2 6 4 2%
built-ins/RegExp/prototype/dotAll 16 0 2 2 12%
built-ins/RegExp/prototype/Symbol.matchAll 52 0 2 2 3%
built-ins/RegExp/match-indices 28 0 12 12 42%
built-ins/RegExp/property-escapes 1092 284 0 -284 -26%
built-ins/Proxy 608 3 1 -2 0%
built-ins/Proxy/preventExtensions 24 2 0 -2 -8%
built-ins/ThrowTypeError 28 0 1 1 3%
built-ins/GeneratorPrototype 120 0 44 44 36%
built-ins/GeneratorPrototype/next 28 0 14 14 50%
built-ins/GeneratorPrototype/return 44 0 14 14 31%
built-ins/GeneratorPrototype/throw 44 0 12 12 27%
built-ins/TypedArray 3970 626 630 4 0%
built-ins/Function 911 6 120 114 12%
built-ins/Function/prototype 608 2 110 108 17%
built-ins/Function/prototype/toString 162 2 110 108 66%
built-ins/Function/internals 16 4 10 6 37%
built-ins/Function/internals/Call 4 2 4 2 50%
built-ins/Function/internals/Construct 12 2 6 4 33%
built-ins/Number 670 0 2 2 0%
built-ins/Object 6754 6 10 4 0%
